name,stra.13321,stra.13442,stra.13453,stra.13563,stra.13684,stra.14642,stra.14153
5900,0.248565,0.512871,0.041434,0.0561929,0.000515562,1.27E-227,8.61E-83
6000,0.27036,0.507536,0.0372817,0.0488434,0.000379673,1.45E-237,2.32E-85
6100,0.293072,0.500101,0.0333845,0.0422393,0.000277984,9.48E-248,6.04E-88
6200,0.316328,0.490713,0.0297671,0.0363824,0.000202759,3.48E-258,1.52E-90
6300,0.33991,0.479378,0.0264305,0.0311976,0.000147203,7.17E-269,3.70E-93
6400,0.364619,0.467406,0.0234302,0.0266959,0.000106631,8.25E-280,8.74E-96
6500,0.389543,0.453713,0.020654,0.0227315,7.68E-05,5.28E-291,1.99E-98
6600,0.414711,0.438853,0.0181534,0.0192852,5.51E-05,1.88E-302,4.39E-101
6700,0.440102,0.423195,0.0158956,0.0163136,3.95E-05,3.7114168594E-314,9.40E-104
6800,0.465229,0.406431,0.0138731,0.013741,2.81E-05,4.9E-324,1.95E-106
6900,0.490597,0.389354,0.012067,0.0115437,2.00E-05,4.9E-324,3.95E-109
7000,0.516369,0.372148,0.0104753,0.00967101,1.41E-05,4.9E-324,7.76E-112
7100,0.541375,0.354381,0.0090495,0.00807372,9.98E-06,4.9E-324,1.48E-114
7200,0.566176,0.336616,0.00780878,0.00672311,7.02E-06,4.9E-324,2.75E-117
7300,0.590286,0.318994,0.00672223,0.0055882,4.93E-06,4.9E-324,5.00E-120
7400,0.613605,0.30109,0.005756,0.00462215,3.45E-06,4.9E-324,8.80E-123
7500,0.636287,0.28354,0.00492338,0.00381502,2.40E-06,4.9E-324,1.52E-125
7600,0.659263,0.266805,0.004206,0.00314645,1.68E-06,4.9E-324,2.57E-128
7700,0.680893,0.250181,0.00358057,0.00258499,1.16E-06,4.9E-324,4.23E-131
7800,0.701821,0.234148,0.00303997,0.00211997,8.06E-07,4.9E-324,6.83E-134
7900,0.721234,0.218474,0.00257575,0.00173304,5.56E-07,4.9E-324,1.08E-136
8000,0.739523,0.203392,0.00217634,0.00141361,3.83E-07,4.9E-324,1.68E-139
8100,0.75874,0.189435,0.00183919,0.00115329,2.64E-07,4.9E-324,2.57E-142
8200,0.776124,0.17594,0.00155122,0.000938463,1.81E-07,4.9E-324,3.85E-145
