name,stra.14027,stra.14031,stra.14032,stra.14148,stra.14149,stra.14151,stra.14152,stra.14153,stra.14269,stra.14397,stra.14399,stra.14512,stra.14632,stra.14642
987900,7.92E-05,4.96E-18,2.11E-63,1.20E-66,1.92E-70,7.12E-20,2.07E-66,3.45E-10,7.91E-45,0.0568438,0.152043,0.105473,6.01E-26,0.50604
988000,6.63E-05,4.28E-18,1.82E-63,1.09E-66,1.78E-70,6.61E-20,1.93E-66,3.21E-10,7.63E-45,0.0569375,0.152332,0.105564,5.26E-26,0.505275
988100,5.55E-05,3.69E-18,1.57E-63,9.99E-67,1.64E-70,6.14E-20,1.79E-66,2.99E-10,7.36E-45,0.0569671,0.152436,0.105537,4.59E-26,0.504979
988200,4.65E-05,3.18E-18,1.36E-63,9.12E-67,1.51E-70,5.70E-20,1.66E-66,2.78E-10,7.09E-45,0.0569745,0.15247,0.105492,4.01E-26,0.50462
988300,3.89E-05,2.74E-18,1.17E-63,8.32E-67,1.39E-70,5.29E-20,1.55E-66,2.59E-10,6.83E-45,0.057102,0.152887,0.105587,3.51E-26,0.503575
988400,3.26E-05,2.37E-18,1.01E-63,7.60E-67,1.29E-70,4.93E-20,1.44E-66,2.41E-10,6.60E-45,0.0572498,0.153341,0.105673,3.06E-26,0.503294
988500,2.73E-05,2.04E-18,8.73E-64,6.93E-67,1.19E-70,4.56E-20,1.33E-66,2.23E-10,6.34E-45,0.0568784,0.152292,0.104815,2.64E-26,0.504431
988600,2.28E-05,1.75E-18,7.53E-64,6.32E-67,1.09E-70,4.23E-20,1.24E-66,2.07E-10,6.09E-45,0.0566108,0.151591,0.103937,2.27E-26,0.508021
988700,1.90E-05,1.51E-18,6.50E-64,5.76E-67,1.01E-70,3.93E-20,1.15E-66,1.93E-10,5.86E-45,0.0566623,0.151808,0.103765,1.97E-26,0.509373
988800,1.59E-05,1.30E-18,5.61E-64,5.25E-67,9.27E-71,3.65E-20,1.07E-66,1.80E-10,5.65E-45,0.056839,0.152365,0.103898,1.72E-26,0.507521
988900,1.33E-05,1.12E-18,4.84E-64,4.79E-67,8.55E-71,3.38E-20,9.92E-67,1.67E-10,5.44E-45,0.0567466,0.152126,0.103557,1.49E-26,0.508604
989000,1.11E-05,9.63E-19,4.17E-64,4.37E-67,7.87E-71,3.13E-20,9.20E-67,1.55E-10,5.23E-45,0.0566952,0.152011,0.103378,1.30E-26,0.509007
989100,9.26E-06,8.28E-19,3.59E-64,3.98E-67,7.24E-71,2.90E-20,8.53E-67,1.44E-10,5.04E-45,0.0566926,0.152047,0.103375,1.14E-26,0.509276
989200,7.71E-06,7.10E-19,3.08E-64,3.62E-67,6.65E-71,2.68E-20,7.89E-67,1.33E-10,4.84E-45,0.0564927,0.151535,0.102982,9.91E-27,0.508998
989300,6.44E-06,6.11E-19,2.66E-64,3.30E-67,6.14E-71,2.49E-20,7.33E-67,1.24E-10,4.67E-45,0.0566697,0.152037,0.103363,8.74E-27,0.50935
989400,5.37E-06,5.25E-19,2.29E-64,3.01E-67,5.65E-71,2.31E-20,6.80E-67,1.15E-10,4.50E-45,0.0567414,0.152282,0.103579,7.71E-27,0.509096
989500,4.49E-06,4.52E-19,1.97E-64,2.74E-67,5.20E-71,2.14E-20,6.31E-67,1.07E-10,4.33E-45,0.0566637,0.15208,0.103362,6.75E-27,0.509374
989600,3.75E-06,3.88E-19,1.70E-64,2.50E-67,4.80E-71,1.99E-20,5.85E-67,9.90E-11,4.17E-45,0.0565447,0.151734,0.103176,5.91E-27,0.510617
989700,3.13E-06,3.34E-19,1.46E-64,2.28E-67,4.42E-71,1.84E-20,5.43E-67,9.20E-11,4.01E-45,0.0567792,0.152441,0.103762,5.25E-27,0.508406
989800,2.61E-06,2.88E-19,1.26E-64,2.08E-67,4.07E-71,1.71E-20,5.06E-67,8.57E-11,3.88E-45,0.057179,0.153611,0.104622,4.68E-27,0.504465
989900,2.18E-06,2.48E-19,1.09E-64,1.90E-67,3.76E-71,1.59E-20,4.70E-67,7.98E-11,3.73E-45,0.0573296,0.154103,0.104854,4.13E-27,0.503777
990000,1.83E-06,2.14E-19,9.40E-65,1.73E-67,3.46E-71,1.48E-20,4.37E-67,7.42E-11,3.60E-45,0.0573659,0.15422,0.104947,3.63E-27,0.50314
990100,1.53E-06,1.84E-19,8.11E-65,1.58E-67,3.19E-71,1.37E-20,4.05E-67,6.88E-11,3.46E-45,0.0571368,0.153591,0.104447,3.17E-27,0.504435
990200,1.28E-06,1.58E-19,6.99E-65,1.44E-67,2.94E-71,1.27E-20,3.76E-67,6.40E-11,3.34E-45,0.0572194,0.153862,0.104608,2.79E-27,0.503099
990300,1.07E-06,1.37E-19,6.05E-65,1.32E-67,2.71E-71,1.18E-20,3.50E-67,5.96E-11,3.21E-45,0.0573083,0.154189,0.104631,2.46E-27,0.502353
990400,8.99E-07,1.18E-19,5.22E-65,1.20E-67,2.50E-71,1.09E-20,3.25E-67,5.53E-11,3.09E-45,0.0568925,0.15297,0.103611,2.12E-27,0.506318
990500,7.51E-07,1.01E-19,4.50E-65,1.10E-67,2.31E-71,1.02E-20,3.01E-67,5.14E-11,2.98E-45,0.0568505,0.152868,0.103548,1.86E-27,0.507063
990600,6.27E-07,8.73E-20,3.88E-65,1.00E-67,2.13E-71,9.43E-21,2.80E-67,4.78E-11,2.87E-45,0.0570458,0.153465,0.103929,1.64E-27,0.504745
990700,5.25E-07,7.52E-20,3.35E-65,9.12E-68,1.96E-71,8.74E-21,2.59E-67,4.43E-11,2.76E-45,0.0565796,0.152187,0.102639,1.41E-27,0.507789
990800,4.40E-07,6.49E-20,2.89E-65,8.34E-68,1.81E-71,8.12E-21,2.41E-67,4.13E-11,2.66E-45,0.0567595,0.152702,0.102901,1.24E-27,0.507575
990900,3.67E-07,5.57E-20,2.49E-65,7.60E-68,1.66E-71,7.53E-21,2.24E-67,3.83E-11,2.56E-45,0.0567507,0.152696,0.102936,1.09E-27,0.507296
991000,3.07E-07,4.80E-20,2.15E-65,6.93E-68,1.53E-71,6.99E-21,2.08E-67,3.56E-11,2.47E-45,0.0568636,0.153039,0.103185,9.67E-28,0.506258
991100,2.56E-07,4.13E-20,1.85E-65,6.32E-68,1.41E-71,6.48E-21,1.93E-67,3.31E-11,2.38E-45,0.0566937,0.152594,0.102801,8.48E-28,0.507939
991200,2.14E-07,3.55E-20,1.59E-65,5.75E-68,1.30E-71,5.99E-21,1.79E-67,3.07E-11,2.28E-45,0.0565516,0.152255,0.102509,7.47E-28,0.509114
991300,1.78E-07,3.05E-20,1.37E-65,5.23E-68,1.20E-71,5.56E-21,1.66E-67,2.85E-11,2.20E-45,0.0568046,0.153029,0.103072,6.65E-28,0.506181
991400,1.49E-07,2.62E-20,1.18E-65,4.77E-68,1.10E-71,5.15E-21,1.54E-67,2.64E-11,2.12E-45,0.0566294,0.152548,0.102832,5.85E-28,0.507386
991500,1.24E-07,2.26E-20,1.02E-65,4.35E-68,1.01E-71,4.78E-21,1.43E-67,2.46E-11,2.04E-45,0.0568173,0.153145,0.103235,5.21E-28,0.504137
991600,1.04E-07,1.94E-20,8.79E-66,3.97E-68,9.36E-72,4.44E-21,1.33E-67,2.28E-11,1.96E-45,0.0568002,0.15309,0.103322,4.61E-28,0.505519
991700,8.70E-08,1.67E-20,7.58E-66,3.62E-68,8.62E-72,4.12E-21,1.23E-67,2.12E-11,1.89E-45,0.0569318,0.153478,0.103762,4.11E-28,0.504662
991800,7.26E-08,1.44E-20,6.53E-66,3.30E-68,7.94E-72,3.82E-21,1.14E-67,1.97E-11,1.82E-45,0.0571006,0.154005,0.104269,3.67E-28,0.50164
991900,6.08E-08,1.24E-20,5.65E-66,3.02E-68,7.33E-72,3.55E-21,1.06E-67,1.84E-11,1.76E-45,0.0572177,0.154376,0.104544,3.26E-28,0.501204
992000,5.09E-08,1.07E-20,4.89E-66,2.75E-68,6.76E-72,3.30E-21,9.90E-68,1.71E-11,1.69E-45,0.0572889,0.154674,0.104079,2.83E-28,0.499191
992100,4.27E-08,9.29E-21,4.24E-66,2.51E-68,6.25E-72,3.07E-21,9.23E-68,1.60E-11,1.63E-45,0.0575209,0.155394,0.104273,2.49E-28,0.498786
992200,3.58E-08,8.02E-21,3.67E-66,2.30E-68,5.77E-72,2.85E-21,8.58E-68,1.49E-11,1.57E-45,0.0575791,0.155599,0.1043,2.19E-28,0.498399
