name,stra.13321,stra.13332,stra.13442,stra.14642
7200,0.995547,0.0019032,0.00161685,4.9E-324
7300,0.996556,0.00174332,0.00146863,4.9E-324
7400,0.996925,0.00159597,0.00133327,4.9E-324
7500,0.996672,0.00145992,0.00120968,4.9E-324
7600,0.996823,0.00133645,0.00109796,4.9E-324
7700,0.99659,0.0012226,0.000996279,4.9E-324
7800,0.996535,0.00111924,0.000904186,4.9E-324
7900,0.997319,0.00102497,0.000821224,4.9E-324
8000,0.997016,0.000937895,0.000744928,4.9E-324
8100,0.997546,0.000859081,0.00067648,4.9E-324
8200,0.99837,0.000787081,0.0006145,4.9E-324
8300,0.998559,0.000720489,0.000557789,4.9E-324
8400,0.998346,0.000659256,0.000506026,4.9E-324
8500,0.998427,0.0006035,0.000459243,4.9E-324
8600,0.998962,0.000552586,0.000416931,4.9E-324
8700,0.99734,0.000504775,0.000377752,4.9E-324
8800,0.999009,0.000462756,0.000343317,4.9E-324
8900,0.999214,0.000423656,0.000311579,4.9E-324
9000,0.999156,0.000387684,0.000282781,4.9E-324
9100,0.997813,0.000354404,0.000256271,4.9E-324
9200,0.998365,0.000324592,0.000232706,4.9E-324
9300,0.998988,0.000297234,0.00021129,4.9E-324
9400,0.998458,0.000271981,0.000191727,4.9E-324
9500,0.998636,0.000248949,0.000174039,4.9E-324
9600,0.999543,0.000228107,0.000158077,4.9E-324
9700,0.999629,0.000208726,0.000143454,4.9E-324
9800,0.998182,0.000190725,0.000129997,4.9E-324
9900,0.999688,0.00017483,0.000118157,4.9E-324
10000,0.999725,0.000159961,0.000107237,4.9E-324
10100,0.999249,0.000146291,9.73E-05,4.9E-324
10200,0.999545,0.000133937,8.83E-05,4.9E-324
10300,0.999174,0.000122573,8.01E-05,4.9E-324
10400,0.999811,0.00011228,7.27E-05,4.9E-324
10500,0.999791,0.000102772,6.60E-05,4.9E-324
10600,0.99896,9.40E-05,5.99E-05,4.9E-324
10700,0.999107,8.61E-05,5.43E-05,4.9E-324
10800,0.999264,7.88E-05,4.93E-05,4.9E-324
10900,0.999727,7.22E-05,4.48E-05,4.9E-324
11000,0.99984,6.61E-05,4.06E-05,4.9E-324
11100,0.998735,6.04E-05,3.68E-05,4.9E-324
11200,0.999236,5.53E-05,3.35E-05,4.9E-324
11300,0.999379,5.06E-05,3.04E-05,4.9E-324
11400,0.999581,4.63E-05,2.75E-05,4.9E-324
11500,0.999854,4.24E-05,2.50E-05,4.9E-324
11600,0.999885,3.88E-05,2.27E-05,4.9E-324
11700,0.999256,3.55E-05,2.06E-05,4.9E-324
11800,0.999216,3.25E-05,1.87E-05,4.9E-324
11900,0.998549,2.97E-05,1.69E-05,4.9E-324
12000,0.998895,2.72E-05,1.54E-05,4.9E-324
12100,0.999748,2.49E-05,1.40E-05,4.9E-324
12200,0.999847,2.28E-05,1.27E-05,4.9E-324
12300,0.999631,2.09E-05,1.15E-05,4.9E-324
12400,0.999672,1.91E-05,1.04E-05,4.9E-324
12500,0.999751,1.75E-05,9.47E-06,4.9E-324
12600,0.999367,1.60E-05,8.59E-06,4.9E-324
12700,0.999418,1.46E-05,7.80E-06,4.9E-324
12800,0.999524,1.34E-05,7.07E-06,4.9E-324
12900,0.997809,1.22E-05,6.41E-06,4.9E-324
13000,0.999626,1.12E-05,5.83E-06,4.9E-324
13100,0.999712,1.03E-05,5.29E-06,4.9E-324
13200,0.999654,9.40E-06,4.80E-06,4.9E-324
13300,0.999976,8.61E-06,4.36E-06,4.9E-324
13400,0.999983,7.88E-06,3.95E-06,4.9E-324
13500,0.999392,7.20E-06,3.59E-06,4.9E-324
13600,0.999726,6.60E-06,3.25E-06,4.9E-324
13700,0.998862,6.03E-06,2.95E-06,4.9E-324
13800,0.999378,5.52E-06,2.68E-06,4.9E-324
13900,0.999826,5.06E-06,2.43E-06,4.9E-324
14000,0.99933,4.63E-06,2.21E-06,4.9E-324
14100,0.999218,4.24E-06,2.00E-06,4.9E-324
14200,0.999987,3.88E-06,1.82E-06,4.9E-324
14300,0.999993,3.55E-06,1.65E-06,4.9E-324
14400,0.999995,3.25E-06,1.50E-06,4.9E-324
14500,0.999461,2.97E-06,1.36E-06,4.9E-324
14600,0.998993,2.72E-06,1.23E-06,4.9E-324
14700,0.999995,2.49E-06,1.12E-06,4.9E-324
14800,0.999101,2.28E-06,1.01E-06,4.9E-324
14900,0.999064,2.08E-06,9.21E-07,4.9E-324
15000,0.999768,1.91E-06,8.36E-07,4.9E-324
15100,0.99969,1.75E-06,7.58E-07,4.9E-324
15200,0.999878,1.60E-06,6.88E-07,4.9E-324
15300,0.999971,1.46E-06,6.25E-07,4.9E-324
15400,0.999947,1.34E-06,5.67E-07,4.9E-324
15500,0.999162,1.23E-06,5.14E-07,4.9E-324
15600,0.9998,1.12E-06,4.67E-07,4.9E-324
15700,0.99994,1.03E-06,4.24E-07,4.9E-324
15800,0.999518,9.40E-07,3.85E-07,4.9E-324
15900,0.999851,8.60E-07,3.49E-07,4.9E-324
16000,0.999987,7.88E-07,3.17E-07,4.9E-324
16100,0.999931,7.21E-07,2.88E-07,4.9E-324
16200,0.999995,6.60E-07,2.61E-07,4.9E-324
16300,0.999204,6.04E-07,2.37E-07,4.9E-324
16400,0.998209,5.52E-07,2.15E-07,4.9E-324
16500,0.999902,5.06E-07,1.95E-07,4.9E-324
16600,0.99904,4.63E-07,1.77E-07,4.9E-324
16700,0.998189,4.24E-07,1.60E-07,4.9E-324
16800,0.998578,3.88E-07,1.46E-07,4.9E-324
16900,0.99951,3.55E-07,1.32E-07,4.9E-324
17000,0.999673,3.25E-07,1.20E-07,4.9E-324
17100,0.999461,2.98E-07,1.09E-07,4.9E-324
17200,0.99922,2.72E-07,9.88E-08,4.9E-324
17300,0.999834,2.49E-07,8.97E-08,4.9E-324
17400,0.999682,2.28E-07,8.14E-08,4.9E-324
17500,0.999948,2.09E-07,7.39E-08,4.9E-324
17600,0.99963,1.91E-07,6.70E-08,4.9E-324
17700,0.999639,1.75E-07,6.08E-08,4.9E-324
