name,stra.13320,stra.13321,stra.13463,stra.13563,stra.13682,stra.13695,stra.13926,stra.14642
123,0.000185636,0.000138219,0.000596556,0.000478618,0.000932095,0.000312783,8.32E-05,4.96E-05
124,0.000183668,0.000137127,0.000599559,0.000482075,0.000938878,0.000316866,8.45E-05,4.79E-05
125,0.000181702,0.000136028,0.000602472,0.000485467,0.000945537,0.000320936,8.59E-05,4.63E-05
126,0.00017974,0.000134923,0.000605296,0.000488794,0.000952073,0.000324992,8.72E-05,4.47E-05
127,0.000177782,0.000133813,0.000608032,0.000492057,0.000958486,0.000329034,8.86E-05,4.32E-05
128,0.000175829,0.000132699,0.000610681,0.000495256,0.000964778,0.000333062,9.00E-05,4.18E-05
129,0.000173882,0.000131581,0.000613245,0.000498392,0.00097095,0.000337076,9.13E-05,4.04E-05
130,0.000171942,0.000130459,0.000615725,0.000501466,0.000977002,0.000341074,9.27E-05,3.91E-05
131,0.000170009,0.000129335,0.000618123,0.000504477,0.000982937,0.000345058,9.41E-05,3.78E-05
132,0.000168085,0.00012821,0.000620438,0.000507427,0.000988753,0.000349027,9.55E-05,3.66E-05
133,0.000166169,0.000127082,0.000622674,0.000510316,0.000994454,0.000352981,9.68E-05,3.54E-05
134,0.000164262,0.000125954,0.00062483,0.000513144,0.00100004,0.000356919,9.82E-05,3.43E-05
135,0.000162365,0.000124825,0.000626909,0.000515913,0.00100551,0.000360841,9.96E-05,3.32E-05
136,0.000160478,0.000123696,0.000628911,0.000518623,0.00101087,0.000364748,0.000101018,3.21E-05
137,0.000158602,0.000122568,0.000630838,0.000521274,0.00101611,0.000368639,0.000102415,3.11E-05
138,0.000156738,0.000121441,0.00063269,0.000523866,0.00102125,0.000372513,0.000103814,3.02E-05
139,0.000154885,0.000120315,0.000634469,0.000526402,0.00102627,0.000376371,0.000105217,2.92E-05
140,0.000153044,0.000119191,0.000636177,0.00052888,0.00103118,0.000380213,0.000106622,2.83E-05
