name,stra.13663,stra.13664,stra.13784,stra.13785,stra.13787,stra.13788,stra.13790,stra.13905,stra.13906,stra.13908,stra.14026,stra.14147,stra.13321
108,0.000202058,4.70E-06,0.0001276,1.71E-06,1.38E-10,2.66E-12,3.54E-15,6.99E-05,4.33E-07,1.12E-11,3.11E-05,1.00E-05,3.03E-16
109,0.000210804,4.74E-06,0.000133329,1.71E-06,1.26E-10,2.33E-12,2.91E-15,7.31E-05,4.32E-07,1.01E-11,3.26E-05,1.05E-05,2.26E-16
110,0.000220086,4.78E-06,0.000139425,1.72E-06,1.15E-10,2.05E-12,2.40E-15,7.65E-05,4.32E-07,9.04E-12,3.42E-05,1.10E-05,1.69E-16
111,0.000229949,4.83E-06,0.000145921,1.74E-06,1.06E-10,1.81E-12,1.98E-15,8.02E-05,4.32E-07,8.14E-12,3.58E-05,1.15E-05,1.26E-16
112,0.000240441,4.88E-06,0.000152849,1.75E-06,9.70E-11,1.60E-12,1.64E-15,8.41E-05,4.33E-07,7.34E-12,3.76E-05,1.21E-05,9.42E-17
113,0.000251613,4.94E-06,0.000160249,1.77E-06,8.93E-11,1.41E-12,1.36E-15,8.83E-05,4.34E-07,6.64E-12,3.96E-05,1.27E-05,7.06E-17
114,0.000263525,5.01E-06,0.000168163,1.79E-06,8.23E-11,1.25E-12,1.13E-15,9.29E-05,4.37E-07,6.01E-12,4.16E-05,1.34E-05,5.29E-17
115,0.000276243,5.09E-06,0.000176638,1.81E-06,7.61E-11,1.11E-12,9.42E-16,9.77E-05,4.40E-07,5.46E-12,4.38E-05,1.41E-05,3.98E-17
116,0.000289836,5.17E-06,0.000185725,1.84E-06,7.05E-11,9.92E-13,7.88E-16,0.000102919,4.44E-07,4.97E-12,4.63E-05,1.49E-05,2.99E-17
117,0.000304387,5.27E-06,0.000195484,1.87E-06,6.54E-11,8.87E-13,6.61E-16,0.000108535,4.49E-07,4.54E-12,4.88E-05,1.58E-05,2.25E-17
118,0.000319985,5.38E-06,0.00020598,1.90E-06,6.09E-11,7.94E-13,5.56E-16,0.000114593,4.55E-07,4.16E-12,5.17E-05,1.67E-05,1.70E-17
119,0.000336729,5.50E-06,0.000217287,1.94E-06,5.68E-11,7.14E-13,4.69E-16,0.000121141,4.61E-07,3.82E-12,5.47E-05,1.77E-05,1.29E-17
120,0.000354733,5.63E-06,0.000229488,1.98E-06,5.31E-11,6.44E-13,3.98E-16,0.00012823,4.69E-07,3.51E-12,5.80E-05,1.88E-05,9.75E-18
121,0.000374121,5.77E-06,0.000242675,2.03E-06,4.99E-11,5.82E-13,3.38E-16,0.00013592,4.78E-07,3.24E-12,6.16E-05,1.99E-05,7.40E-18
122,0.000395037,5.93E-06,0.000256956,2.08E-06,4.69E-11,5.28E-13,2.89E-16,0.000144276,4.89E-07,3.01E-12,6.55E-05,2.12E-05,5.63E-18
123,0.000417641,6.11E-06,0.00027245,2.14E-06,4.43E-11,4.80E-13,2.47E-16,0.000153376,5.01E-07,2.79E-12,6.98E-05,2.27E-05,4.29E-18
124,0.000442116,6.31E-06,0.000289294,2.21E-06,4.20E-11,4.39E-13,2.13E-16,0.000163307,5.14E-07,2.61E-12,7.45E-05,2.42E-05,3.28E-18
125,0.000468668,6.53E-06,0.000307645,2.28E-06,3.99E-11,4.02E-13,1.84E-16,0.000174168,5.29E-07,2.44E-12,7.97E-05,2.60E-05,2.51E-18
126,0.000497535,6.77E-06,0.00032768,2.36E-06,3.80E-11,3.70E-13,1.59E-16,0.000186076,5.46E-07,2.29E-12,8.53E-05,2.79E-05,1.93E-18
127,0.000528985,7.04E-06,0.000349608,2.46E-06,3.64E-11,3.42E-13,1.39E-16,0.000199163,5.66E-07,2.16E-12,9.16E-05,3.00E-05,1.49E-18
128,0.000563332,7.34E-06,0.000373665,2.56E-06,3.50E-11,3.18E-13,1.22E-16,0.000213583,5.88E-07,2.05E-12,9.85E-05,3.23E-05,1.15E-18
129,0.000600933,7.67E-06,0.000400127,2.68E-06,3.37E-11,2.96E-13,1.07E-16,0.000229518,6.12E-07,1.95E-12,0.000106209,3.49E-05,8.91E-19
130,0.000642203,8.04E-06,0.000429315,2.81E-06,3.27E-11,2.77E-13,9.48E-17,0.000247176,6.40E-07,1.86E-12,0.000114768,3.78E-05,6.93E-19
131,0.000687625,8.46E-06,0.000461604,2.95E-06,3.18E-11,2.61E-13,8.44E-17,0.000266805,6.72E-07,1.79E-12,0.000124327,4.11E-05,5.41E-19
132,0.000737762,8.93E-06,0.000497436,3.12E-06,3.12E-11,2.47E-13,7.56E-17,0.000288698,7.08E-07,1.73E-12,0.00013504,4.48E-05,4.24E-19
133,0.000793278,9.46E-06,0.000537329,3.31E-06,3.07E-11,2.35E-13,6.82E-17,0.0003132,7.49E-07,1.68E-12,0.000147092,4.90E-05,3.33E-19
134,0.000854951,1.01E-05,0.000581901,3.52E-06,3.03E-11,2.25E-13,6.19E-17,0.000340724,7.96E-07,1.64E-12,0.000160701,5.37E-05,2.63E-19
135,0.000923706,1.07E-05,0.000631888,3.76E-06,3.02E-11,2.17E-13,5.66E-17,0.000371767,8.50E-07,1.61E-12,0.000176135,5.91E-05,2.09E-19
136,0.00100065,1.15E-05,0.000688172,4.04E-06,3.02E-11,2.11E-13,5.21E-17,0.000406925,9.12E-07,1.60E-12,0.000193715,6.53E-05,1.67E-19
137,0.0010871,1.24E-05,0.00075182,4.36E-06,3.04E-11,2.06E-13,4.84E-17,0.000446927,9.84E-07,1.59E-12,0.000213836,7.24E-05,1.34E-19
138,0.00118466,1.34E-05,0.000824127,4.73E-06,3.09E-11,2.03E-13,4.53E-17,0.00049266,1.07E-06,1.60E-12,0.000236984,8.06E-05,1.08E-19
139,0.00129526,1.46E-05,0.000906678,5.17E-06,3.15E-11,2.01E-13,4.29E-17,0.00054522,1.16E-06,1.62E-12,0.00026376,9.02E-05,8.76E-20
140,0.00142129,1.60E-05,0.00100143,5.67E-06,3.25E-11,2.02E-13,4.09E-17,0.000605964,1.28E-06,1.65E-12,0.000294916,0.000101411,7.16E-20
141,0.00156567,1.76E-05,0.00111081,6.27E-06,3.38E-11,2.04E-13,3.95E-17,0.000676596,1.41E-06,1.70E-12,0.0003314,0.000114649,5.89E-20
142,0.00173205,1.95E-05,0.00123786,6.98E-06,3.55E-11,2.08E-13,3.86E-17,0.000759262,1.58E-06,1.77E-12,0.000374418,0.000130374,4.89E-20
143,0.00192501,2.18E-05,0.00138644,7.83E-06,3.76E-11,2.15E-13,3.81E-17,0.000856703,1.77E-06,1.86E-12,0.00042552,0.000149199,4.09E-20
144,0.00215032,2.45E-05,0.00156147,8.86E-06,4.03E-11,2.25E-13,3.82E-17,0.000972444,2.01E-06,1.98E-12,0.000486715,0.000171927,3.46E-20
145,0.0024154,2.79E-05,0.00176929,1.01E-05,4.38E-11,2.38E-13,3.88E-17,0.00111108,2.30E-06,2.14E-12,0.000560644,0.000199621,2.95E-20
146,0.00272982,3.19E-05,0.0020182,1.17E-05,4.81E-11,2.56E-13,4.00E-17,0.00127865,2.66E-06,2.33E-12,0.000650809,0.000233702,2.55E-20
147,0.00310605,3.70E-05,0.00231913,1.36E-05,5.37E-11,2.79E-13,4.20E-17,0.0014832,3.11E-06,2.59E-12,0.000761922,0.000276104,2.23E-20
