name,stra.13200,stra.13663,stra.13664,stra.13784,stra.13785,stra.13786,stra.13905,stra.13906,stra.14026,stra.14027,stra.14147,stra.14393,stra.14399,stra.14511,stra.14512,stra.14642
68,9.69E-31,5.57E-05,6.65E-06,3.45E-05,2.97E-06,1.77E-07,1.89E-05,1.04E-06,8.65E-06,2.60E-07,3.01E-06,4.50E-17,4.92E-21,2.69E-15,3.70E-18,9.23E-05
69,3.48E-31,5.72E-05,6.53E-06,3.54E-05,2.90E-06,1.64E-07,1.94E-05,1.01E-06,8.85E-06,2.48E-07,3.07E-06,2.93E-17,2.72E-21,1.99E-15,2.39E-18,9.41E-05
70,1.25E-31,5.87E-05,6.42E-06,3.64E-05,2.83E-06,1.51E-07,1.99E-05,9.76E-07,9.06E-06,2.37E-07,3.13E-06,1.91E-17,1.50E-21,1.47E-15,1.54E-18,9.59E-05
71,4.47E-32,6.02E-05,6.31E-06,3.73E-05,2.76E-06,1.40E-07,2.04E-05,9.44E-07,9.27E-06,2.26E-07,3.20E-06,1.25E-17,8.29E-22,1.09E-15,9.97E-19,9.77E-05
72,1.61E-32,6.19E-05,6.20E-06,3.83E-05,2.70E-06,1.29E-07,2.09E-05,9.14E-07,9.50E-06,2.15E-07,3.27E-06,8.18E-18,4.59E-22,8.12E-16,6.46E-19,9.96E-05
73,5.77E-33,6.36E-05,6.10E-06,3.93E-05,2.64E-06,1.20E-07,2.14E-05,8.85E-07,9.73E-06,2.06E-07,3.34E-06,5.35E-18,2.54E-22,6.04E-16,4.19E-19,0.000101528
74,2.07E-33,6.53E-05,6.00E-06,4.04E-05,2.58E-06,1.11E-07,2.20E-05,8.57E-07,9.98E-06,1.97E-07,3.41E-06,3.51E-18,1.41E-22,4.50E-16,2.72E-19,0.000103509
75,7.46E-34,6.71E-05,5.90E-06,4.15E-05,2.52E-06,1.02E-07,2.26E-05,8.31E-07,1.02E-05,1.88E-07,3.49E-06,2.30E-18,7.83E-23,3.35E-16,1.76E-19,0.00010554
76,2.69E-34,6.90E-05,5.81E-06,4.27E-05,2.47E-06,9.49E-08,2.32E-05,8.06E-07,1.05E-05,1.80E-07,3.57E-06,1.51E-18,4.36E-23,2.50E-16,1.15E-19,0.000107623
77,9.68E-35,7.10E-05,5.73E-06,4.39E-05,2.42E-06,8.79E-08,2.39E-05,7.82E-07,1.08E-05,1.72E-07,3.65E-06,9.93E-19,2.43E-23,1.87E-16,7.48E-20,0.000109761
78,3.49E-35,7.30E-05,5.64E-06,4.52E-05,2.37E-06,8.15E-08,2.46E-05,7.59E-07,1.11E-05,1.65E-07,3.74E-06,6.54E-19,1.35E-23,1.40E-16,4.88E-20,0.000111954
79,1.26E-35,7.51E-05,5.56E-06,4.65E-05,2.32E-06,7.56E-08,2.53E-05,7.37E-07,1.14E-05,1.58E-07,3.84E-06,4.31E-19,7.56E-24,1.05E-16,3.19E-20,0.000114206
80,4.56E-36,7.74E-05,5.49E-06,4.79E-05,2.28E-06,7.02E-08,2.60E-05,7.16E-07,1.17E-05,1.52E-07,3.93E-06,2.84E-19,4.23E-24,7.85E-17,2.09E-20,0.000116519
81,1.65E-36,7.97E-05,5.41E-06,4.93E-05,2.23E-06,6.52E-08,2.68E-05,6.97E-07,1.20E-05,1.46E-07,4.03E-06,1.88E-19,2.37E-24,5.90E-17,1.37E-20,0.000118894
82,5.98E-37,8.21E-05,5.34E-06,5.08E-05,2.19E-06,6.06E-08,2.76E-05,6.78E-07,1.24E-05,1.40E-07,4.14E-06,1.24E-19,1.33E-24,4.44E-17,8.97E-21,0.000121335
83,2.17E-37,8.46E-05,5.28E-06,5.24E-05,2.15E-06,5.64E-08,2.84E-05,6.60E-07,1.27E-05,1.34E-07,4.25E-06,8.24E-20,7.49E-25,3.34E-17,5.90E-21,0.000123844
84,7.89E-38,8.72E-05,5.22E-06,5.40E-05,2.11E-06,5.25E-08,2.93E-05,6.43E-07,1.31E-05,1.29E-07,4.37E-06,5.47E-20,4.22E-25,2.52E-17,3.88E-21,0.000126423
85,2.87E-38,8.99E-05,5.16E-06,5.57E-05,2.08E-06,4.89E-08,3.02E-05,6.27E-07,1.35E-05,1.24E-07,4.49E-06,3.64E-20,2.38E-25,1.90E-17,2.56E-21,0.000129077
86,1.05E-38,9.27E-05,5.10E-06,5.75E-05,2.05E-06,4.56E-08,3.12E-05,6.12E-07,1.39E-05,1.20E-07,4.62E-06,2.42E-20,1.35E-25,1.44E-17,1.69E-21,0.000131808
87,3.82E-39,9.57E-05,5.05E-06,5.93E-05,2.01E-06,4.25E-08,3.22E-05,5.97E-07,1.44E-05,1.15E-07,4.76E-06,1.62E-20,7.64E-26,1.09E-17,1.12E-21,0.000134618
88,1.40E-39,9.88E-05,5.00E-06,6.13E-05,1.98E-06,3.97E-08,3.32E-05,5.84E-07,1.48E-05,1.11E-07,4.90E-06,1.08E-20,4.34E-26,8.26E-18,7.42E-22,0.000137513
89,5.13E-40,0.000102042,4.96E-06,6.33E-05,1.96E-06,3.70E-08,3.43E-05,5.71E-07,1.53E-05,1.08E-07,5.05E-06,7.22E-21,2.47E-26,6.28E-18,4.93E-22,0.000140495
90,1.89E-40,0.000105431,4.91E-06,6.55E-05,1.93E-06,3.46E-08,3.55E-05,5.59E-07,1.58E-05,1.04E-07,5.21E-06,4.84E-21,1.41E-26,4.78E-18,3.28E-22,0.000143568
91,6.94E-41,0.000108977,4.88E-06,6.77E-05,1.91E-06,3.24E-08,3.67E-05,5.47E-07,1.64E-05,1.01E-07,5.37E-06,3.25E-21,8.06E-27,3.64E-18,2.19E-22,0.000146737
92,2.56E-41,0.00011269,4.84E-06,7.00E-05,1.88E-06,3.04E-08,3.80E-05,5.36E-07,1.69E-05,9.74E-08,5.55E-06,2.19E-21,4.62E-27,2.78E-18,1.46E-22,0.000150005
93,9.47E-42,0.00011658,4.81E-06,7.25E-05,1.86E-06,2.85E-08,3.93E-05,5.26E-07,1.75E-05,9.44E-08,5.73E-06,1.48E-21,2.65E-27,2.13E-18,9.79E-23,0.000153378
94,3.51E-42,0.000120659,4.78E-06,7.51E-05,1.84E-06,2.67E-08,4.07E-05,5.16E-07,1.81E-05,9.15E-08,5.93E-06,9.98E-22,1.53E-27,1.63E-18,6.57E-23,0.00015686
95,1.30E-42,0.000124937,4.76E-06,7.78E-05,1.82E-06,2.51E-08,4.22E-05,5.07E-07,1.88E-05,8.89E-08,6.13E-06,6.76E-22,8.83E-28,1.25E-18,4.42E-23,0.000160456
96,4.86E-43,0.000129429,4.74E-06,8.07E-05,1.81E-06,2.36E-08,4.38E-05,4.99E-07,1.95E-05,8.64E-08,6.35E-06,4.59E-22,5.12E-28,9.62E-19,2.98E-23,0.000164173
97,1.82E-43,0.000134147,4.72E-06,8.37E-05,1.79E-06,2.22E-08,4.54E-05,4.91E-07,2.02E-05,8.40E-08,6.58E-06,3.12E-22,2.97E-28,7.41E-19,2.01E-23,0.000168015
98,6.81E-44,0.000139107,4.71E-06,8.69E-05,1.78E-06,2.09E-08,4.72E-05,4.84E-07,2.10E-05,8.18E-08,6.82E-06,2.13E-22,1.73E-28,5.73E-19,1.36E-23,0.00017199
99,2.56E-44,0.000144325,4.70E-06,9.02E-05,1.77E-06,1.97E-08,4.90E-05,4.78E-07,2.18E-05,7.98E-08,7.08E-06,1.45E-22,1.01E-28,4.43E-19,9.25E-24,0.000176104
