name,stra.13663,stra.13664,stra.13784,stra.13785,stra.13905,stra.13906,stra.14026,stra.14147,stra.14512,stra.14518,stra.14641,stra.14642
121,3.86E-04,6.00E-06,2.51E-04,2.11E-06,1.40E-04,4.98E-07,6.37E-05,2.07E-05,4.22E-27,3.27E-37,2.70E-44,3.25E-04
122,4.08E-04,6.18E-06,2.66E-04,2.17E-06,1.49E-04,5.10E-07,6.79E-05,2.20E-05,3.13E-27,2.01E-37,1.50E-44,3.36E-04
123,4.32E-04,6.37E-06,2.82E-04,2.23E-06,1.59E-04,5.23E-07,7.24E-05,2.35E-05,2.33E-27,1.25E-37,8.37E-45,3.47E-04
124,4.58E-04,6.59E-06,3.00E-04,2.31E-06,1.69E-04,5.38E-07,7.74E-05,2.52E-05,1.74E-27,7.78E-38,4.73E-45,3.60E-04
125,4.86E-04,6.82E-06,3.19E-04,2.39E-06,1.81E-04,5.55E-07,8.28E-05,2.70E-05,1.31E-27,4.90E-38,2.70E-45,3.73E-04
126,5.16E-04,7.09E-06,3.40E-04,2.48E-06,1.94E-04,5.74E-07,8.88E-05,2.90E-05,9.97E-28,3.11E-38,1.55E-45,3.87E-04
127,5.50E-04,7.38E-06,3.64E-04,2.58E-06,2.07E-04,5.96E-07,9.55E-05,3.13E-05,7.62E-28,1.99E-38,9.03E-46,4.02E-04
128,5.86E-04,7.71E-06,3.89E-04,2.69E-06,2.23E-04,6.20E-07,1.03E-04,3.38E-05,5.86E-28,1.29E-38,5.31E-46,4.18E-04
129,6.26E-04,8.08E-06,4.18E-04,2.82E-06,2.40E-04,6.47E-07,1.11E-04,3.66E-05,4.54E-28,8.41E-39,3.16E-46,4.35E-04
130,6.70E-04,8.49E-06,4.49E-04,2.97E-06,2.59E-04,6.78E-07,1.20E-04,3.97E-05,3.54E-28,5.54E-39,1.90E-46,4.53E-04
131,7.19E-04,8.95E-06,4.83E-04,3.13E-06,2.80E-04,7.14E-07,1.31E-04,4.32E-05,2.79E-28,3.69E-39,1.16E-46,4.73E-04
132,7.72E-04,9.46E-06,5.22E-04,3.31E-06,3.03E-04,7.54E-07,1.42E-04,4.72E-05,2.22E-28,2.49E-39,7.13E-47,4.94E-04
133,8.32E-04,1.00E-05,5.65E-04,3.52E-06,3.30E-04,8.00E-07,1.55E-04,5.17E-05,1.78E-28,1.70E-39,4.45E-47,5.17E-04
134,8.99E-04,1.07E-05,6.13E-04,3.76E-06,3.59E-04,8.52E-07,1.70E-04,5.68E-05,1.44E-28,1.17E-39,2.82E-47,5.42E-04
135,9.73E-04,1.15E-05,6.67E-04,4.03E-06,3.93E-04,9.13E-07,1.87E-04,6.27E-05,1.17E-28,8.19E-40,1.82E-47,5.68E-04
136,0.00105634,1.23E-05,7.28E-04,4.34E-06,4.31E-04,9.82E-07,2.06E-04,6.94E-05,9.69E-29,5.81E-40,1.19E-47,5.97E-04
137,0.0011504,1.33E-05,7.97E-04,4.70E-06,4.75E-04,1.06E-06,2.28E-04,7.72E-05,8.10E-29,4.18E-40,7.88E-48,6.29E-04
138,0.00125691,1.45E-05,8.77E-04,5.12E-06,5.25E-04,1.16E-06,2.53E-04,8.63E-05,6.85E-29,3.05E-40,5.33E-48,6.64E-04
139,0.00137814,1.58E-05,9.67E-04,5.61E-06,5.83E-04,1.27E-06,2.83E-04,9.69E-05,5.86E-29,2.27E-40,3.67E-48,7.03E-04
140,0.00151684,1.74E-05,0.0010717,6.19E-06,6.50E-04,1.40E-06,3.17E-04,1.09E-04,5.09E-29,1.71E-40,2.58E-48,7.45E-04
141,0.00167646,1.92E-05,0.0011929,6.87E-06,7.28E-04,1.56E-06,3.58E-04,1.24E-04,4.48E-29,1.32E-40,1.85E-48,7.92E-04
142,0.00186129,2.14E-05,0.00133439,7.69E-06,8.21E-04,1.74E-06,4.06E-04,1.42E-04,4.01E-29,1.03E-40,1.35E-48,8.45E-04
143,0.00207677,2.40E-05,0.00150075,8.67E-06,9.30E-04,1.97E-06,4.63E-04,1.63E-04,3.65E-29,8.29E-41,1.02E-48,9.04E-04
144,0.00232983,2.72E-05,0.00169789,9.87E-06,0.00106068,2.25E-06,5.33E-04,1.89E-04,3.38E-29,6.80E-41,7.82E-49,9.71E-04
145,0.00262941,3.11E-05,0.00193347,1.14E-05,0.00121821,2.59E-06,6.17E-04,2.20E-04,3.20E-29,5.71E-41,6.18E-49,0.00104737
146,0.00298715,3.59E-05,0.00221759,1.32E-05,0.00141,3.02E-06,7.20E-04,2.60E-04,3.09E-29,4.93E-41,5.03E-49,0.0011347
147,0.00341839,4.20E-05,0.00256372,1.55E-05,0.00164596,3.56E-06,8.49E-04,3.09E-04,3.05E-29,4.37E-41,4.23E-49,0.00123558
148,0.00394359,4.96E-05,0.00298999,1.85E-05,0.0019396,4.26E-06,0.00101036,3.71E-04,3.09E-29,4.00E-41,3.67E-49,0.00135311
149,0.00459034,5.94E-05,0.00352117,2.23E-05,0.00230958,5.18E-06,0.00121619,4.52E-04,3.21E-29,3.78E-41,3.31E-49,0.00149129
150,0.00539622,7.23E-05,0.00419147,2.74E-05,0.00278199,6.40E-06,0.00148204,5.57E-04,3.44E-29,3.71E-41,3.10E-49,0.00165534
151,0.00641299,8.94E-05,0.00504869,3.42E-05,0.00339375,8.04E-06,0.00183052,6.97E-04,3.81E-29,3.78E-41,3.04E-49,0.00185209
152,0.00771231,1.13E-04,0.00616017,4.36E-05,0.00419766,1.03E-05,0.00229443,8.85E-04,4.36E-29,4.01E-41,3.11E-49,0.00209044
153,0.00939357,1.45E-04,0.00762111,5.65E-05,0.00526961,1.35E-05,0.00292164,0.00114272,5.17E-29,4.45E-41,3.34E-49,0.00238193
154,0.0115933,1.89E-04,0.00956537,7.50E-05,0.00671844,1.80E-05,0.003782,0.00150185,6.38E-29,5.18E-41,3.77E-49,0.0027411
155,0.0144938,2.53E-04,0.0121772,1.02E-04,0.0086976,2.47E-05,0.00497614,0.0020082,8.19E-29,6.31E-41,4.48E-49,0.00318526
156,0.0183245,3.45E-04,0.0156979,1.40E-04,0.0114145,3.44E-05,0.00664375,0.00272731,1.09E-28,8.06E-41,5.61E-49,0.00373263
157,0.0233381,4.77E-04,0.0204117,1.96E-04,0.0151254,4.88E-05,0.00896413,0.0037461,1.50E-28,1.07E-40,7.34E-49,0.00439699
158,0.0297382,6.63E-04,0.0265843,2.77E-04,0.0200928,6.96E-05,0.0121334,0.00516478,2.12E-28,1.47E-40,9.95E-49,0.00517734
