Strategy_Type,p1,p2,p3,p4
stra.314,0.01,0.2,0.6,0.5
stra.315,0.01,0.2,0.6,0.6
stra.316,0.01,0.2,0.6,0.7
stra.317,0.01,0.2,0.6,0.8
stra.318,0.01,0.2,0.6,0.9
stra.319,0.01,0.2,0.6,0.99
stra.320,0.01,0.2,0.7,0.01
stra.321,0.01,0.2,0.7,0.1
stra.322,0.01,0.2,0.7,0.2
stra.323,0.01,0.2,0.7,0.3
stra.324,0.01,0.2,0.7,0.4
stra.325,0.01,0.2,0.7,0.5
stra.326,0.01,0.2,0.7,0.6
stra.327,0.01,0.2,0.7,0.7
stra.328,0.01,0.2,0.7,0.8
stra.329,0.01,0.2,0.7,0.9
stra.330,0.01,0.2,0.7,0.99
stra.331,0.01,0.2,0.8,0.01
stra.332,0.01,0.2,0.8,0.1
stra.333,0.01,0.2,0.8,0.2
stra.334,0.01,0.2,0.8,0.3
stra.335,0.01,0.2,0.8,0.4
stra.336,0.01,0.2,0.8,0.5
stra.337,0.01,0.2,0.8,0.6
stra.338,0.01,0.2,0.8,0.7
stra.339,0.01,0.2,0.8,0.8
stra.340,0.01,0.2,0.8,0.9
stra.341,0.01,0.2,0.8,0.99
stra.342,0.01,0.2,0.9,0.01
stra.343,0.01,0.2,0.9,0.1
stra.344,0.01,0.2,0.9,0.2
stra.345,0.01,0.2,0.9,0.3
stra.346,0.01,0.2,0.9,0.4
stra.347,0.01,0.2,0.9,0.5
stra.348,0.01,0.2,0.9,0.6
stra.349,0.01,0.2,0.9,0.7
stra.350,0.01,0.2,0.9,0.8
stra.351,0.01,0.2,0.9,0.9
stra.352,0.01,0.2,0.9,0.99
stra.353,0.01,0.2,0.99,0.01
stra.354,0.01,0.2,0.99,0.1
stra.355,0.01,0.2,0.99,0.2
stra.356,0.01,0.2,0.99,0.3
stra.357,0.01,0.2,0.99,0.4
stra.358,0.01,0.2,0.99,0.5
stra.359,0.01,0.2,0.99,0.6
stra.360,0.01,0.2,0.99,0.7
stra.361,0.01,0.2,0.99,0.8
stra.362,0.01,0.2,0.99,0.9
stra.363,0.01,0.2,0.99,0.99
stra.364,0.01,0.3,0.01,0.01
stra.365,0.01,0.3,0.01,0.1
stra.366,0.01,0.3,0.01,0.2
stra.367,0.01,0.3,0.01,0.3
stra.368,0.01,0.3,0.01,0.4
stra.369,0.01,0.3,0.01,0.5
stra.370,0.01,0.3,0.01,0.6
stra.371,0.01,0.3,0.01,0.7
stra.372,0.01,0.3,0.01,0.8
stra.373,0.01,0.3,0.01,0.9
stra.374,0.01,0.3,0.01,0.99
stra.375,0.01,0.3,0.1,0.01
