name,stra.14151,stra.14152,stra.14153,stra.14269,stra.14392,stra.14394,stra.14511,stra.14517,stra.14520,stra.14642,stra.13321
579700,2.87E-21,6.86E-19,8.19E-12,1.13E-40,0.0664697,0.270405,0.0264188,0.013008,0.102507,0.435686,8.83E-138
579800,2.69E-21,6.42E-19,7.68E-12,1.09E-40,0.0661807,0.269352,0.0262578,0.0129568,0.101964,0.439365,1.14E-143
579900,2.51E-21,6.00E-19,7.18E-12,1.05E-40,0.0660562,0.268895,0.0262762,0.0129814,0.102015,0.439809,1.36E-149
580000,2.35E-21,5.62E-19,6.74E-12,1.02E-40,0.0661983,0.269744,0.0264201,0.0130952,0.1028,0.437299,1.68E-155
580100,2.20E-21,5.27E-19,6.32E-12,9.88E-41,0.0662672,0.270253,0.0265062,0.0131779,0.10332,0.436479,2.24E-161
580200,2.06E-21,4.93E-19,5.93E-12,9.57E-41,0.0662805,0.270452,0.0265487,0.0132264,0.103547,0.435309,3.07E-167
580300,1.93E-21,4.63E-19,5.58E-12,9.26E-41,0.0663415,0.271033,0.0266209,0.0133112,0.104113,0.433803,4.71E-173
580400,1.80E-21,4.33E-19,5.23E-12,8.95E-41,0.0661463,0.270372,0.0265393,0.0132995,0.103872,0.435872,7.00E-179
580500,1.69E-21,4.06E-19,4.91E-12,8.66E-41,0.0662073,0.270935,0.026611,0.0133835,0.10442,0.432935,1.04E-184
580600,1.58E-21,3.82E-19,4.62E-12,8.39E-41,0.0662885,0.271529,0.0266493,0.0134452,0.104778,0.432462,1.66E-190
580700,1.49E-21,3.59E-19,4.35E-12,8.13E-41,0.0664553,0.272522,0.0267339,0.0135354,0.105368,0.428486,2.96E-196
580800,1.39E-21,3.36E-19,4.08E-12,7.84E-41,0.0659578,0.270589,0.0264412,0.0134113,0.104235,0.431053,5.59E-202
580900,1.31E-21,3.16E-19,3.84E-12,7.61E-41,0.0658785,0.270343,0.026322,0.0133727,0.10375,0.434734,8.91E-208
